address,tokenAmount
0x00bA99fAC8F68713973627D150e0219b006Ad7d6,16174000000000000000000
0x00d34C73086180D07548f08d655De420E8Db74cc,16174000000000000000000
0x035789dbB9B20a94b550f572bceC853A3ef163Bb,16174000000000000000000
0x039ba7C5B4F7362e85b2DE4E9D21374ae873940a,16174000000000000000000
0x041AdC6732d42e23Fdf0DDa4422EB35bb07442de,16174000000000000000000
0x05cB57536a6221DB07DcFa75171CE2f2d4fc051d,16174000000000000000000
0x08D816526BdC9d077DD685Bd9FA49F58A5Ab8e48,16174000000000000000000
0x09f6132677D31A1C6Aeca0E71D9f81f2C7C6ca8F,16174000000000000000000
0x0aC29a22542aa9898370b0A358aB030950D92766,16174000000000000000000
0x0cb2778D45068a0c452E40a70CABE8d4d6934ebF,16174000000000000000000
0x0E5d4c1F7C731db614c65f7C215f86cDa766e5E7,16174000000000000000000
0x1142F57eff107305820Cd2e96cf02084851491De,16174000000000000000000
0x122bD83f802b70D340C1C505E56F4803B4365e46,16174000000000000000000
0x15cd63bff2AA6c853fb71453663a4E5357437fdd,16174000000000000000000
0x1A2d838c4bbd1e73d162d0777d142c1d783Cb831,16174000000000000000000
0x1d1A113C517DA481dFb106292a8c134c2DcB7517,16174000000000000000000
0x1F7b953113f4dFcBF56a1688529CC812865840e1,16174000000000000000000
0x2247d5d238d0f9d37184d8332aE0289d1aD9991b,16174000000000000000000
0x226DD2f31BDEf88a53588Df596dCb1D9c065FD63,16174000000000000000000
0x230d31EEC85F4063a405B0F95bdE509C0d0A8b5D,16174000000000000000000
0x2375363d937a730F75D41537a9E8A97b093Aa7e5,16174000000000000000000
0x24506DC1918183960Ac04dB859EB293B115952af,16174000000000000000000
0x253FaC550bae1EE9B4680b3735DC38a3f6eCd600,16174000000000000000000
0x26041104d8d68205Ec38BAEE5Bb0C6A998B67FFf,16174000000000000000000
0x2733AC6c20720728d48A4f0df99Ec89067EAbEfB,16174000000000000000000
0x28DAC096556CfB3f454f8f79091170658B749b06,16174000000000000000000
0x2A8C78AA94D26295D29806ea4e4229f4e0de844A,16174000000000000000000
0x2fE023204958fc4c44f639CE72D3bdC0f025Adfe,16174000000000000000000
0x2fF4d6A7297C4CCe8a264aaEcAD9f93c31f0A790,16174000000000000000000
0x31dd321e02668178ca34336118d4beDF6B5ffb04,16174000000000000000000
0x335DaFb8e708151e7e91C9Fe6F4AF9755877c205,16174000000000000000000
