address,tokenAmount
0x0000006916a87b82333f4245046623b23794C65C,35807000000000000000000
0x001C3edF39bB957f0c1bE251edC2FAe1bC886F4A,26745000000000000000000
0x003A594540b8a29A74773E29A71E51fE448dfD89,14578000000000000000000
0x003E42d7E8E2107a7ECD7CBc9a140b271a8150a5,18222000000000000000000
0x004cC1280C30b73FB31AdF680328BAfAE2935150,44759000000000000000000
0x004f67dAbb603AAA58eD52641CCafF09C559704A,35807000000000000000000
0x0057a317f0BF1a998368EdF19E37C8F99861AD71,26745000000000000000000
0x00725E5694b42082ad9040CB60D2DaBEE0Ca70C5,18222000000000000000000
0x008b3b2F992C0E14eDaa6E2c662Bec549CAA8df1,35807000000000000000000
0x00a082F9EC6aBe5F511c83B9e8B646e2F7b4fcB7,18222000000000000000000
0x00B13e1ba93eB05323E8118E584FDA4CB8dFb3bd,21396000000000000000000
0x00bA99fAC8F68713973627D150e0219b006Ad7d6,21396000000000000000000
0x00cDD7Fc085c86D000c0D54b3CA6fE83A8a806e5,21396000000000000000000
0x00De4B13153673BCAE2616b67bf822500d325Fc3,35807000000000000000000
0x00FEb22aB6cfee31C57e8Ce0De55464B30658EbA,44759000000000000000000
0x012ce20dF50768c8ddcD5Ecc1e9DCBb3cc7bE7fC,21396000000000000000000
0x017347cb75aC8725608e593EA35d83f9B2b3cfb8,4811000000000000000000
0x0186360230a2C62C56c380DE3F59D615bE2Ff250,18222000000000000000000
0x0194325BF525Be0D4fBB0856894cEd74Da3B8356,35807000000000000000000
0x01b14e387b96224840928f005324ED1289B9A816,44759000000000000000000
0x01b82a39bD478CA798C49738F3514ee4b87b5dc6,26745000000000000000000
0x01Cf9fD2efa5Fdf178bd635c3E2adF25B2052712,14578000000000000000000
0x01f49cdD0121E50321eaecD5f82A9aF008422d0b,14578000000000000000000
0x0200741eCaA5Dd338667367CF6b19c1E065174e0,18222000000000000000000
0x02099b49e786720Ddd9FB65edD67f631816072fc,44759000000000000000000
0x023802eb071e6BBD42AE13e7B0D9B005d93d293c,14578000000000000000000
0x02529Ee194A258fB9dB4549CfacE5A5e7D7DB8f5,44759000000000000000000
0x026824B79E3c99f993B55EB064AC9cE6857af853,26745000000000000000000
0x0271E8E9B4E3B0E2E1B164eD5E1875484DB47879,14578000000000000000000
0x02a0Ab43e69c655dB60D96d8f782f1c1dBE2674b,18222000000000000000000
