wallet_address,address_type
0x3e82cba5d782a01cb02e0a9d066ed5dbeb350631,Ethereum — Gnosis Safe
0xa6ab726be0c2048f7a063fd01160af8f0b749fd2,Ethereum — Gnosis Safe
0x4ac10e7f8f4b10751bcfdf5bcd48194723140471,Ethereum — Gnosis Safe
0x868effe1b8510126b872449b3e08154720bacc78,Ethereum — Gnosis Safe
0x798558694c48664a51873b652015500c31a0d533,Ethereum — Gnosis Safe
0x6bf7c9f8c0351763f7cef1b003159b7d3a5b9213,Ethereum — Gnosis Safe
0xa52fd396891e7a74b641a2cb1a6999fcf56b077e,Ethereum — Gnosis Safe
0x6906f3a09bcc1b7cd3b0c8626724299618df4472,Ethereum — Gnosis Safe
0x237dee529a47750becdfa8a59a1d766e3e7b5f91,Ethereum — Gnosis Safe
0x9258d14db5ae79de3717dfb5f03c3f0a6fc71999,Ethereum — Gnosis Safe
0x242ba6d68ffeb4a098b591b32d370f973ff882b7,Ethereum — Gnosis Safe
